Sample_names,Samples_renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
Spis_OCCH_628,Spis_OCCH_628,Offshore Central GBR,9,0,0,OffshoreCentral,9:00:00,5,-18.660365,147.702675,OCCH_BA2S,Chicken,Back2,Shallow,0,Zoe Meziere,17,1,2022,17/1/2022
Spis_OCCH_629,Spis_OCCH_629,Offshore Central GBR,4,0,0,OffshoreCentral,9:00:00,5,-18.660365,147.702675,OCCH_BA2S,Chicken,Back2,Shallow,0,Zoe Meziere,17,1,2022,17/1/2022
Spis_OCCH_634,Spis_OCCH_634,Offshore Central GBR,8,0,0,OffshoreCentral,9:00:00,5,-18.660365,147.702675,OCCH_BA2S,Chicken,Back2,Shallow,0,Zoe Meziere,17,1,2022,17/1/2022
Spis_OCCH_655,Spis_OCCH_655,Offshore Central GBR,4,0,0,OffshoreCentral,9:00:00,6,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back1,Shallow,0,Zoe Meziere,18,1,2022,18/1/2022
Spis_OCCH_659,Spis_OCCH_659,Offshore Central GBR,15,0,0,OffshoreCentral,9:00:00,6,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back1,Shallow,0,Zoe Meziere,18,1,2022,18/1/2022
Spis_OCCH_668,Spis_OCCH_668,Offshore Central GBR,10,0,0,OffshoreCentral,9:00:00,6,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back1,Shallow,0,Zoe Meziere,18,1,2022,18/1/2022
Spis_OCDA_570,Spis_OCDA_570,Offshore Central GBR,12,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_573,Spis_OCDA_573,Offshore Central GBR,3,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_576,Spis_OCDA_576,Offshore Central GBR,1,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_577,Spis_OCDA_577,Offshore Central GBR,13,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_579,Spis_OCDA_579,Offshore Central GBR,15,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_581,Spis_OCDA_581,Offshore Central GBR,14,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_582,Spis_OCDA_582,Offshore Central GBR,7,0,0,OffshoreCentral,15:00:00,13,-18.83191,147.65257,OCDA_FR2D,Davies,Front2,Deep,0,Zoe Meziere,15,1,2022,15/1/2022
