Site_code,lat,long,Reef,Site,Zone
TSAU_BA2F,-9.8753,143.38873,TSAU,BA2,F
TSAU_BA2S,-9.87567,143.38852,TSAU,BA2,S
TSAU_FL1F,-9.88172,143.39439,TSAU,FL1,F
TSAU_FL1S,-9.882,143.39441,TSAU,FL1,S
TSAU_FR1F,-9.87976,143.40973,TSAU,FR1,F
TSAU_FR1S,-9.87995,143.41005,TSAU,FR1,S
TSAU_FR2D,-9.88355,143.40729,TSAU,FR2,D
TSAU_FR2F,-9.88335,143.40681,TSAU,FR2,F
TSAU_FR2S,-9.88363,143.40704,TSAU,FR2,S
TSDU_BA1F,-9.88176,142.92525,TSDU,BA1,F
TSDU_BA1S,-9.88165,142.92517,TSDU,BA1,S
TSDU_BA2F,-9.87865,142.93295,TSDU,BA2,F
TSDU_BA2S,-9.87852,142.93288,TSDU,BA2,S
TSDU_BA3F,-9.98513,142.90881,TSDU,BA3,F
TSDU_BA3S,-9.9853,142.90858,TSDU,BA3,S
TSDU_FR1F,-9.93117,143.00534,TSDU,FR1,F
TSDU_FR1S,-9.9312,143.00543,TSDU,FR1,S
TSDU_FR2S,-10.03724,142.92653,TSDU,FR2,S
TSDU_LA1F,-9.93386,142.92267,TSDU,LA1,F
TSDU_LA1S,-9.93405,142.92276,TSDU,LA1,S
TSMA_BA1D,-9.74876,143.39987,TSMA,BA1,D
TSMA_BA1F,-9.74886,143.40012,TSMA,BA1,F
TSMA_BA1S,-9.74877,143.39992,TSMA,BA1,S
TSMA_BA2D,-9.74405,143.41571,TSMA,BA2,D
TSMA_BA2F,-9.74463,143.41585,TSMA,BA2,F
TSMA_BA2S,-9.74423,143.41579,TSMA,BA2,S
TSMA_FL1F,-9.75989,143.39822,TSMA,FL1,F
TSMA_FL1S,-9.75998,143.39803,TSMA,FL1,S
TSMA_FR1D,-9.7639,143.41718,TSMA,FR1,D
TSMA_FR1S,-9.76227,143.4214,TSMA,FR1,S
TSMA_FR2D,-9.7462,143.46025,TSMA,FR2,D
TSMA_FR2F,-9.74817,143.45831,TSMA,FR2,F
TSMA_FR2S,-9.74831,143.45851,TSMA,FR2,S
TSMA_LA1S,-9.73419,143.43503,TSMA,LA1,S
OCCH_FL1S,-18.6521,147.71846,OCCH,FL1,S
