gene,SNPs,hits,Z,top_candidate_p,Z_pVal
wind_9865,77,1,0.953629042708888,0.538778032581905,0.404595910778466
wind_9866,9,0,-0.881719299380474,1,0.838429315390505
wind_9868,98,0,0.674608414610419,1,0.507653271018008
wind_9869,96,0,-0.51007311026011,1,0.797938778247187
wind_9874,2,0,0.643325269900085,1,0.36420340971396
wind_9876,174,0,-0.133233249421324,1,0.753790408028347
wind_9877,137,0,1.45304471966763,1,0.34404037919859
wind_9878,658,12,0.81966532726893,0.0358197276849376,0
wind_9879,64,1,2.02122110313916,0.474403512474438,0.141354532893826
wind_9882,11,0,-1.05516436202668,1,0.87228946628203
wind_9889,4,0,0.171778519307526,1,0.52852393565391
wind_9890,8,0,0.551472971666613,1,0.407642773887899
wind_9897,22,0,-0.979612417532762,1,0.861413042822052
wind_9898,57,0,-0.365492792846002,1,0.747175804762759
wind_9903,12,1,1.34080805451908,0.113615128283871,0.190623984878815
wind_9904,155,2,-0.0362212935489939,0.459676713798292,0.725965403256147
wind_9905,96,0,0.624034478207008,1,0.519474659444917
wind_9907,6,0,0.9035107386839,1,0.292417201345043
wind_9909,1,0,0.560484932600313,1,0.38928662516798
wind_9910,172,2,1.3346873860796,0.514054497458334,0.401247843804607
wind_9911,24,1,0.0358804765502646,0.214321859192781,0.604726868217816
wind_9912,70,0,-0.672930399040371,1,0.819517566802207
wind_9916,12,0,0.737553472085854,1,0.356235247330301
wind_9921,13,0,-1.24768512509164,1,0.903310527554427
wind_9923,9,0,-0.852549088521041,1,0.832293880799942
wind_9925,7,0,1.06506505667528,1,0.248957303948533
wind_9929,1,0,-0.141448563502758,1,0.629478116631402
wind_9931,9,0,-2.64236566553389,1,0.993469138598309
wind_9932,39,0,1.22925408696231,1,0.269499878998939
wind_9935,18,0,-0.611853236765845,1,0.781875852366577
wind_9938,7,0,0.737518287843812,1,0.345308553116694
wind_9940,28,0,1.37862541900089,1,0.212679779670499
wind_9946,7,0,0.477594726533777,1,0.430140025029852
wind_9947,18,0,0.077550112786385,1,0.583027481577623
wind_9956,9,0,-0.151624538852753,1,0.643740541355289
wind_9959,165,3,0.244905837628804,0.229176179671505,0.667812574103954
wind_9960,24,0,0.448525009688122,1,0.47250297160928
wind_9963,73,2,-0.350141275487577,0.16581484312844,0.753252475912788
wind_9964,7,0,-0.912366578375073,1,0.844026428484239
wind_9753,1,0,0.790545914699733,1,0.315027592811682
wind_9795,11,0,-1.30770187813236,1,0.911526982271748
wind_9861,8,0,-0.294464293079577,1,0.686713461564909
wind_9883,3,0,1.55195402623444,1,0.129744635492702
wind_9715,15,3,2.94162608818592,0.000415802701875566,0.0143726661526103
wind_9844,7,0,-0.287177889064574,1,0.683380420355821
wind_9850,2,0,0.877112532251902,1,0.291066815780401
wind_9717,7,0,-1.54761887456074,1,0.93987345496159
wind_9718,7,0,-1.19362771304994,1,0.894600096068085
wind_9719,1,1,1,1,1
wind_9722,2,0,-0.515934079417818,1,0.745205212935965
wind_9724,1,1,1,1,1
wind_9736,3,0,-1.18436055735205,1,0.892633611167048
wind_9740,2,0,0.129432040920125,1,0.539442335795129
wind_9741,5,0,-0.641553993524244,1,0.780945909706084
wind_9742,7,0,-0.24862524376306,1,0.671567258190052
wind_9745,30,0,-2.49867907395417,1,0.989469588711913
wind_9746,20,0,-0.0314979268607285,1,0.620434567938353
wind_9756,1,1,1,1,1
wind_9758,1,1,1,1,1
wind_9763,1,0,1.75777102597642,1,0.0926736596457294
wind_9764,1,1,1,1,1
wind_9765,4,0,-0.00230162143230139,1,0.587734318996392
wind_9768,1,0,-1.0260700525853,1,0.864619603798185
wind_9770,1,0,-1.30490480264945,1,0.910571559727114
wind_9771,1,1,1,1,1
wind_9774,1,0,1.16972699659505,1,0.208378690476903
wind_9775,8,0,-1.52763940553874,1,0.937778680795147
wind_9776,1,0,0.470030554555591,1,0.419818135912696
wind_9777,1,0,-0.785319386558026,1,0.813676769539159
